﻿id;name;recipe_category;picture;portion_number;portion_unit;cook_counter;favorite;bookmark;last cooked;last_updated;inspired_by;description;tip
160;gebackene Süßkartoffel-Bohnen-Taquitos;4;assets/images/recipes/gebackene_suesskartoffel-bohnen-taquitos.webp;6;Port.;0;0;0;;;;;
161;Ofen-Süßkartoffel mit Spargel & Kichererbsen-Curry;4;assets/images/recipes/ofen-suesskartoffel_mit_spargel_&_kichererbsen-curry.webp;1;Port.;0;0;0;;;;;
162;Ofen-Süßkartoffel mit Spinat-Tomatensoße;4;assets/images/recipes/ofen-suesskartoffel_mit_spinat-tomatensosse.webp;1;Port.;0;0;0;;;;;
163;Ofen-Süßkartoffel mit bunten Möhren;4;assets/images/recipes/ofen-suesskartoffel_mit_bunten_moehren.webp;1;Port.;0;0;0;;;;;
164;Ofen-Süßkartoffel mit Rosenkohl & Brokkoli;4;assets/images/recipes/ofen-suesskartoffel_mit_rosenkohl_&_brokkoli.webp;1;Port.;0;0;0;;;;;
165;Ofen-Süßkartoffel mit Rosenkohl-Pilz-Pfanne;4;assets/images/recipes/ofen-suesskartoffel_mit_rosenkohl-pilz-pfanne.webp;1;Port.;0;0;0;;;;;
166;gestopfte Süßkartoffel mit Balsamicoglasur;4;assets/images/recipes/gestopfte_suesskartoffel_mit_balsamicoglasur.webp;1;Port.;0;0;0;;;;;
167;Ofen-Süßkartoffel mit Rotkohl-Pilz-Sauté;4;assets/images/recipes/ofen-suesskartoffel_mit_rotkohl-pilz-sauté.webp;1;Port.;0;0;0;;;;;
168;Blumenkohl-Rucola-Pizza;4;assets/images/recipes/blumenkohl-rucola-pizza.webp;1;Port.;0;0;0;;;;;
169;griechische Gyros-Pizza;4;assets/images/recipes/griechische_gyros-pizza.webp;1;Port.;0;0;0;;;;;
170;Zucchini-Rucola-Quinoa-Pizza;4;assets/images/recipes/zucchini-rucola-quinoa-pizza.webp;1;Port.;0;0;0;;;;;
171;Türkische Linsen-Pizza;4;assets/images/recipes/tuerkische_linsen-pizza.webp;1;Port.;0;0;0;;;;;
172;Brokkoli-schwarze Bohnen-Pizza;4;assets/images/recipes/brokkoli-schwarze_bohnen-pizza.webp;1;Port.;0;0;0;;;;;
173;rote Beete-Rucola-Quinoa-Pizza;4;assets/images/recipes/rote_beete-rucola-quinoa-pizza.webp;1;Port.;0;0;0;;;;;
174;rote Beete-Kichererbsen-Quinoa-Pizza;4;assets/images/recipes/rote_beete-kichererbsen-quinoa-pizza.webp;1;Port.;0;0;0;;;;;
175;Grünkohl-schwarze Bohnen-Quinoa-Pizza;4;assets/images/recipes/gruenkohl-schwarze_bohnen-quinoa-pizza.webp;1;Port.;0;0;0;;;;;
176;Wurzelgemüse-Belugalinsen-Quinoa-Pizza;4;assets/images/recipes/wurzelgemuese-belugalinsen-quinoa-pizza.webp;1;Port.;0;0;0;;;;;
177;rote Beete-Lauch-Erbsen-Pizza;4;assets/images/recipes/rote_beete-lauch-erbsen-pizza.webp;1;Port.;0;0;0;;;;;
178;Süßkartoffel-Lauch-Buchweizen-Pizza;4;assets/images/recipes/suesskartoffel-lauch-buchweizen-pizza.webp;1;Port.;0;0;0;;;;;
179;Spinat-Kichererbsen-Quinoa-Pizza;4;assets/images/recipes/spinat-kichererbsen-quinoa-pizza.webp;1;Port.;0;0;0;;;;;
180;Hot and Sour Shiitake-Suppe;5;assets/images/recipes/hot_and_sour_shiitake-suppe.webp;1;Port.;0;0;0;;;;;
181;Salsa;5;assets/images/recipes/salsa.webp;2;Port.;0;0;0;;;;;
